instance,method,term,num_courses,total_credits,final_deviation,courses
bacp10.dat,IncrementalSAT,1,4,14,0,"fis100, mat021, qui010, ili260"
bacp10.dat,IncrementalSAT,2,4,13,0,"dew100, hrwxx1, fis110, mat022"
bacp10.dat,IncrementalSAT,3,4,14,0,"iwi131, mat023, fis130, icdxx1"
bacp10.dat,IncrementalSAT,4,5,13,0,"dew101, hrwxx3, mat024, iwn170, iwn270"
bacp10.dat,IncrementalSAT,5,4,14,0,"ili134, ili151, iwn261, ili280"
bacp10.dat,IncrementalSAT,6,5,13,0,"hrwxx2, hcw310, ili135, ili153, icdxx2"
bacp10.dat,IncrementalSAT,7,4,13,0,"dewxx0, ili239, ili245, ili355"
bacp10.dat,IncrementalSAT,8,4,13,0,"fis120, hcw311, ili253, ili236"
bacp10.dat,IncrementalSAT,9,4,13,0,"iwg101, ili243, ili263, ili332"
bacp10.dat,IncrementalSAT,10,4,14,0,"fis140, ili270, ici344, ili362"
bacp10.dat,MaxSAT,1,4,14,0,"mat021, iwi131, ili260, iwn270"
bacp10.dat,MaxSAT,2,5,13,0,"fis100, iwg101, hcw310, ili134, iwn170"
bacp10.dat,MaxSAT,3,4,13,0,"qui010, ili151, ili135, icdxx1"
bacp10.dat,MaxSAT,4,4,13,0,"dew100, mat022, ili153, ili239"
bacp10.dat,MaxSAT,5,4,13,0,"hcw311, ili245, ili253, ili236"
bacp10.dat,MaxSAT,6,4,13,0,"dew101, fis110, iwn261, ili243"
bacp10.dat,MaxSAT,7,4,13,0,"dewxx0, fis120, mat023, fis130"
bacp10.dat,MaxSAT,8,4,14,0,"mat024, ili270, ici344, ili263"
bacp10.dat,MaxSAT,9,4,14,0,"ili280, ili332, ili362, icdxx2"
bacp10.dat,MaxSAT,10,5,14,0,"hrwxx1, hrwxx2, hrwxx3, fis140, ili355"
bacp12.dat,IncrementalSAT,1,6,17,0,"dew100, mat111, mat121, iwi131, ili260, hrw150"
bacp12.dat,IncrementalSAT,2,6,17,0,"hxwxx1, iwm185, ili231, ili243, ili273, iwn270"
bacp12.dat,IncrementalSAT,3,5,17,0,"mat122, ili134, iwn170, qui104, ili274"
bacp12.dat,IncrementalSAT,4,5,17,0,"mat112, ili238, ili275, hrw110, ici344"
bacp12.dat,IncrementalSAT,5,5,17,0,"mat113, mat123, ili334, ici315, iwi365"
